epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,50035.2,0.31838,0.43787,0.95179,0.97834,0.94481,0.99498,0.94985,0.29754,0.33114,0.93392,3.66758e-05,3.66758e-05,3.66758e-05
41,51250.2,0.26778,0.35201,0.91102,0.96912,0.98021,0.99496,0.95211,0.29315,0.32246,0.92997,3.3488e-05,3.3488e-05,3.3488e-05
42,52459,0.2616,0.32709,0.90787,0.97294,0.9787,0.9949,0.95177,0.29841,0.32568,0.92431,3.03002e-05,3.03002e-05,3.03002e-05
43,53665.2,0.26059,0.31793,0.90706,0.97336,0.98449,0.99495,0.95635,0.29069,0.31007,0.92506,2.71124e-05,2.71124e-05,2.71124e-05
44,54984.9,0.25495,0.30871,0.90001,0.97608,0.97814,0.9949,0.95673,0.28721,0.30826,0.91562,2.39246e-05,2.39246e-05,2.39246e-05
45,56268.5,0.25384,0.29784,0.90146,0.96962,0.98084,0.99487,0.95853,0.28924,0.31034,0.91679,2.07368e-05,2.07368e-05,2.07368e-05
46,57490.9,0.25018,0.29306,0.8991,0.96844,0.97454,0.99483,0.95384,0.29062,0.3109,0.91628,1.7549e-05,1.7549e-05,1.7549e-05
47,58705.4,0.2491,0.2907,0.89637,0.97687,0.97899,0.99496,0.9555,0.29096,0.30254,0.91665,1.43612e-05,1.43612e-05,1.43612e-05
48,59937.2,0.2485,0.28263,0.89328,0.97225,0.9837,0.99493,0.95328,0.28741,0.29529,0.91321,1.11734e-05,1.11734e-05,1.11734e-05
49,61243.6,0.24549,0.27904,0.89146,0.97316,0.97463,0.99489,0.95533,0.28662,0.29731,0.91295,7.9856e-06,7.9856e-06,7.9856e-06
50,62523.7,0.24512,0.27377,0.89607,0.97316,0.97815,0.99489,0.95582,0.28525,0.29356,0.9122,4.7978e-06,4.7978e-06,4.7978e-06
