                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3724,                 3.7059,                 1.4694,                0.31734,                0.34744,                0.22583,                0.14843,                 1.2236,                 2.8319,                 1.4917,               0.070073,              0.0033252,              0.0033252
                      1,                 1.1177,                 2.3564,                 1.2761,                0.65039,                0.41153,                0.50081,                0.31136,                 1.2732,                 2.0162,                 1.5346,               0.039744,              0.0063289,              0.0063289
